review_text,rating,word_count,is_fake,is_duplicate,emojis,sentiment,scores,compound,label,review_len
"Versatile, simple and a performer",5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5
The best for the price range in the market,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}",0.6369,2,9
Good service,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2
Optimal for small family,4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,2,4
Upgrade your network!!!,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Good Quality Product and Good Option for some one Gift.,5.0,10,0,1,,Positive,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.8271}",0.8271,2,10
worst football ever..!!  good service by flipkart:),2.0,7,0,1,,Negative,"{'neg': 0.372, 'neu': 0.397, 'pos': 0.23, 'compound': -0.4184}",-0.4184,0,7
Neptune VX Dishwasher,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Excellent range,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,2,2
Outstanding.,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6124}",0.6124,2,1
Wonderful Fridge.,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,2,2
A perfect Deepawali Gift for my Mom,4.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.765}",0.765,2,7
Brilliant,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",0.5859,2,1
At this price point this the cheaper and durable..,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,9
I am very satisfied with this purchase! The product is of great quality and the delivery was prompt. 😍👍🚚,5.0,19,0,0,😍👍🚚,Positive,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.8169}",0.8169,2,19
Highly priced for the kind of stuff offered,2.0,8,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,8
Nice product in this price.,4.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,2,5
product is good for under 500 rupees.,4.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,2,7
Average Sound Bar,3.0,3,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,3
Nice Product!!!!,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.201, 'pos': 0.799, 'compound': 0.6083}",0.6083,2,2
"बहुत उपयोगी है, डेली यूज के लिए बेस्ट।",5.0,8,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,8
Faulty at times. multiple needles broke,2.0,6,0,1,,Negative,"{'neg': 0.56, 'neu': 0.44, 'pos': 0.0, 'compound': -0.6249}",-0.6249,0,6
Useless product,1.0,2,0,1,,Negative,"{'neg': 0.737, 'neu': 0.263, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0,2
Average product,3.0,2,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,2
Nice to see this Product in Very Less Rate,5.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",0.4215,2,9
So little juice and so much of waste.,5.0,8,0,1,,Positive,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.4703}",-0.4703,2,8
FLIPKART'S SERVICE IS VERY GOOD AND SATISFACTORY.,4.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.7146}",0.7146,2,7
Nice,3.0,1,0,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,2,1
Great experience with IFB Dishwasher,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,2,5
A must have gadget for a smart home,5.0,8,0,1,,Positive,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}",0.4019,2,8
Good. Bt bowls are too short,3.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,2,6
Very Good Microwave oven,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",0.4927,2,4
"1) Product quality = 2 stars, Delivery = 5 stars",2.0,10,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,10
Excellent quality and great value for money! 😍💰,5.0,8,0,0,😍💰,Positive,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.8883}",0.8883,2,8
Good camera kit,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,2,3
Perfect product! can recommend to others,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.381, 'pos': 0.619, 'compound': 0.7574}",0.7574,2,6
Wondeful purchase. Very good experience until now.,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.653, 'pos': 0.347, 'compound': 0.4927}",0.4927,2,7
Price Value,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.294, 'pos': 0.706, 'compound': 0.34}",0.34,2,2
Useless Product,1.0,2,0,1,,Negative,"{'neg': 0.737, 'neu': 0.263, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0,2
NICE YAAR,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2
VFM - Primarily designed to move away from Cable,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,9
Great Power Bank From Mi,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,2,5
Same as google home mni,1.0,5,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,5
"खूपच छान उत्पादन आहे, मला खूप आवडलं.",5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,7
Great Purchase,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2
rubbish,2.0,1,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,1
"Good looks, good installation service, but weak material.",4.0,8,0,1,,Positive,"{'neg': 0.302, 'neu': 0.392, 'pos': 0.306, 'compound': -0.2382}",-0.2382,2,8
Neat design and good outcome.,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.337, 'pos': 0.663, 'compound': 0.7096}",0.7096,2,5
Worst experience ever! DO NOT BUY,1.0,6,0,1,,Negative,"{'neg': 0.468, 'neu': 0.532, 'pos': 0.0, 'compound': -0.6588}",-0.6588,0,6
Quality product from philips,4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,4
LG 20 L solo Microwave Oven is really good,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.4927}",0.4927,2,9
GOOD..,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,1
not at its brand level.,1.0,5,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,5
Seems little low power of motor,2.0,6,0,1,,Negative,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.204}",-0.204,0,6
Decent product.,3.0,2,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,2
"पैकेजिंग खराब थी, बॉक्स फटा हुआ था।",1.0,7,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,7
best ball ever....,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,2,3
Great Product!,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.185, 'pos': 0.815, 'compound': 0.6588}",0.6588,2,2
Not so efficient,3.0,3,0,1,,Negative,"{'neg': 0.56, 'neu': 0.44, 'pos': 0.0, 'compound': -0.3713}",-0.3713,0,3
Happy it is working well.,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}",0.7003,2,5
Excellent Product By Philips,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,2,4
Good choice! But bad installation.,4.0,5,0,1,,Positive,"{'neg': 0.505, 'neu': 0.3, 'pos': 0.195, 'compound': -0.6239}",-0.6239,2,5
Stop Working With in ONE MONTH of Usage,1.0,8,0,1,,Negative,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}",-0.296,0,8
Nice buy for a family of 4.,4.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}",0.4215,2,7
Strong but height is too short for TV base,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.2846}",0.2846,2,9
Compare to other router it is really good.,4.0,8,0,1,,Positive,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.4927}",0.4927,2,8
Mixer Review,2.0,2,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,2
Awesome purchase at this price,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,2,5
Best router and AP,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,2,4
Simply Ordinary,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
Reliable and easy to use very good job bajaj...,5.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.535, 'pos': 0.465, 'compound': 0.7264}",0.7264,2,9
Nice TV,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2
very good,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4927}",0.4927,2,2
Value-for-money,4.0,1,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,1
"Bad Decision of buying plastic bucket, cheap material",1.0,8,0,1,,Negative,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0,8
Very Goodreat product,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
"The motor is good, but the engineering is terrible",2.0,9,0,1,,Negative,"{'neg': 0.317, 'neu': 0.534, 'pos': 0.149, 'compound': -0.4939}",-0.4939,0,9
Flipkart is BRILLIANT but Bajaj is BAD,3.0,7,0,1,,Negative,"{'neg': 0.43, 'neu': 0.367, 'pos': 0.203, 'compound': -0.6228}",-0.6228,0,7
Awesome !,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6588}",0.6588,2,2
"Average product, can be better 😕",3.0,6,0,0,😕,Positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,2,6
Okay TV,3.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.2263}",0.2263,2,2
Excellent juicer,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,2,2
Worth each penny,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.2263,2,3
हेल्थ साठी खूप चांगलं आहे.,5.0,5,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5
Awesome Soundbar,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2
Beautiful design !!!,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.295, 'pos': 0.705, 'compound': 0.6981}",0.6981,2,3
expensive,2.0,1,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,1
Bajaj FX 11,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Great Product with reliability of Bajaj.,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}",0.6249,2,6
Unclear Specifications,1.0,2,0,1,,Negative,"{'neg': 0.667, 'neu': 0.333, 'pos': 0.0, 'compound': -0.25}",-0.25,0,2
Excellent product as well as delivery service,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.7003}",0.7003,2,7
Go for it.,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Good purchase!,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.239, 'pos': 0.761, 'compound': 0.4926}",0.4926,2,2
Quality,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,1
Reviewing after an year of use,3.0,6,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,6
Great in style juices like a boss,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.765}",0.765,2,7
Low Quality,1.0,2,0,1,,Negative,"{'neg': 0.677, 'neu': 0.323, 'pos': 0.0, 'compound': -0.2732}",-0.2732,0,2
Quality product and great service from flipkart,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.6249}",0.6249,2,7
Nice product from IFB,4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,2,4
Nice Trendy and easy to Carry,4.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.6908}",0.6908,2,6
Shameful act of lying about product features.,1.0,7,0,1,,Negative,"{'neg': 0.569, 'neu': 0.431, 'pos': 0.0, 'compound': -0.765}",-0.765,0,7
Worth every penny!!,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.3578}",0.3578,2,3
A wonderful product!!!,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.179, 'pos': 0.821, 'compound': 0.6784}",0.6784,2,3
Awesome buy ! Value for money,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.306, 'pos': 0.694, 'compound': 0.7777}",0.7777,2,6
Fabulous!,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5707}",0.5707,2,1
100% Satisfied from the Product.,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,2,5
Crompton ozone 75 desert air cooler,4.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,6
Pretty good product,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.141, 'pos': 0.859, 'compound': 0.7269}",0.7269,2,3
"खूप छान product आहे, value for money!",5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4003}",0.4003,2,7
Got a good router after doing a lot of research!,5.0,10,0,1,,Positive,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.4926}",0.4926,2,10
not detecting in my printer it is too bad,1.0,9,0,1,,Negative,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0,9
Decent quality,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
Not recommended at allused product,1.0,5,0,1,,Negative,"{'neg': 0.285, 'neu': 0.715, 'pos': 0.0, 'compound': -0.1511}",-0.1511,0,5
damage product delivery and quality is very poor,1.0,8,0,1,,Negative,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.7645}",-0.7645,0,8
Good machine but hidden cost not mention.,3.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.2382}",0.2382,2,7
चार्जिंग में बहुत टाइम लेता है यह फोन।,2.0,8,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,8
worth for money,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.2263,2,3
Best Choice,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,2,2
Value to Money (Smile)...!!!,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.5067}",0.5067,2,4
Best in class refrigerator,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,2,4
Perfect for video editing but not for general users,4.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.3291}",0.3291,2,9
Wonderful..! I highly recommend.,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.474}",0.474,2,4
Ok for unbreakable stuff,2.0,4,0,1,,Negative,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.296}",0.296,0,4
Ultimate security.,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.294, 'pos': 0.706, 'compound': 0.34}",0.34,2,2
Good look,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2
Best but not worth in this range,3.0,7,0,1,,Positive,"{'neg': 0.208, 'neu': 0.521, 'pos': 0.271, 'compound': 0.1533}",0.1533,2,7
terrific purchase,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4767}",0.4767,2,2
Feel Worst Experience,1.0,3,0,1,,Negative,"{'neg': 0.672, 'neu': 0.328, 'pos': 0.0, 'compound': -0.6249}",-0.6249,0,3
Best Product in Best Price,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.8555}",0.8555,2,5
Monster !!,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
Really bad product,1.0,3,0,1,,Negative,"{'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.5849}",-0.5849,0,3
I am very satisfied with this purchase! The product is of great quality and the delivery was prompt. 😍👍🚚,5.0,19,0,0,😍👍🚚,Positive,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.8169}",0.8169,2,19
kinda disapointed,3.0,2,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,2
Decent product,3.0,2,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,2
Old product and have scratch on face,1.0,7,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,7
या किमतीत यापेक्षा चांगलं काहीच मिळणार नाही.,5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,7
Keep it up.,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Eureka Forbes Trendy Zip Dry Vacuum Cleaner,3.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}",0.1779,2,7
awesome product,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2
chepest Cardtige,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
improper sync between audio and video.audio is being delayed,1.0,9,0,1,,Negative,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}",-0.2263,0,9
"सर्वश्रेष्ठ प्रोडक्ट, ५ स्टार रेटिंग!",5.0,5,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5
Entry Level DSLR.,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Good product in repeating wifi but not the speed of host net,2.0,12,0,1,,Negative,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.2382}",0.2382,0,12
Nice Camera,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2
Worst product ever,1.0,3,0,1,,Negative,"{'neg': 0.672, 'neu': 0.328, 'pos': 0.0, 'compound': -0.6249}",-0.6249,0,3
"डिस्काउंट मध्ये मिळालं, मस्त डील होती.",5.0,6,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,6
Good Product & Lowest Price ever only @ Flipkart,5.0,9,0,1,,Positive,"{'neg': 0.248, 'neu': 0.476, 'pos': 0.276, 'compound': 0.0772}",0.0772,2,9
Four Stars,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
happy with the product and flipcart service.,4.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.5719}",0.5719,2,7
BAJAJ DX 2 L/W 600,4.0,5,0,1,,Positive,"{'neg': 0.612, 'neu': 0.388, 'pos': 0.0, 'compound': -0.694}",-0.694,2,5
Poor value for money.,3.0,4,0,1,,Negative,"{'neg': 0.413, 'neu': 0.267, 'pos': 0.32, 'compound': -0.1779}",-0.1779,0,4
