review_text,rating
ifb dishwasher neptune Vx,5.0
awesome,5.0
Perfect for a small home,5.0
crashed automatically my life is in danger bcoz of this,1.0
Not a full smart tv,3.0
Very bad,1.0
Value for money & good product,5.0
Artesia Folding Sheesham Wood Relaxing Chair,5.0
Good worth it,5.0
Perfect for video editing but not for general users,4.0
V-guard,4.0
Worth in this price,4.0
Beautiful design !!!,4.0
Worst Delivery Flipkart,1.0
Great!..Must buy!,5.0
"Good One, Needs more improvement",4.0
Great Microwave!,4.0
Cost effective and great quality prints,5.0
Excellent Product By Philips,5.0
Work Table for Office,5.0
Excellent product from Qubo,5.0
great bluetooth speakers,5.0
Affordable price with good features and quality,5.0
One Star,1.0
terrific purchase,5.0
Perfect near the dinner table of a small family.,5.0
Low quality product,1.0
Decent Microwave,5.0
Too Noisy. Dont Buy. Full Stop.,1.0
Superb!!!,5.0
not at its brand level.,1.0
One of the Best in the market!,5.0
Only 30 mbps  transfer speed,1.0
IFB is far superior than other brands,5.0
Amazing product,4.0
Fine,4.0
Best Buy,5.0
Excellent range,5.0
Does it's job,4.0
Awesome Bass!! Loved it!!,5.0
Product is Good but Huge in size,3.0
But only if you want a terrible installation experience,3.0
Great Product! Value for money.,4.0
Best of Microwave oven at this price range,5.0
Crompton ozone 75 desert air cooler,4.0
Expected a better product.,2.0
Not a Good design,3.0
Quality Service at best price,5.0
Good Product for Great Price,5.0
Works very well as a repeater,4.0
Worth each penny,4.0
Very good product with this price,4.0
ULTIMATE COOLER AT THIS PRICE RANGE,5.0
nice,5.0
A Good Buy,4.0
Nice Flask!!!,5.0
Bad Quality,2.0
Microtek,5.0
Great product for offered price,5.0
Good toy.,3.0
NICE PRODUCT AT A SUPERB PRICE,5.0
Go fot it :),5.0
Unsatisfactory took 11 days to deliver,1.0
Good service,5.0
Very good,5.0
Good product and Very fast delivery of flipkart.. :D,4.0
hidden costs?!,4.0
Wonderful Product,5.0
Good one,4.0
Very bad quality. In just 1 month the inverter is dead,1.0
"Does what it says, Amazing service from Flipkart",5.0
bajaj mixer grinder,4.0
Worst steamer,1.0
Good Product at this price point !,3.0
Warranty is fake,1.0
good quality product at a great price,5.0
Best Laptop Ever Budget Gaming,5.0
Good product under budget,4.0
A good product,5.0
Want to buy a budget tv...this is the right choice for FHD,5.0
great deal at this price,5.0
Good set of features,5.0
terrific,5.0
Bad quality dishwasher,2.0
hoping for the best,4.0
Good camera kit,4.0
Worth the money,4.0
Juicer Jar is of no Use,3.0
Issa vibe,5.0
awesome product,5.0
Poor value for money.,3.0
No Technical person provided,5.0
Powerful beast!!,5.0
Good Router!!!,5.0
The best for the price range in the market,4.0
Good Product Quick Delivery,4.0
Awesome juicer from philips,5.0
Fantastic Air cooler in affordable price,5.0
Excellent Print Jobs!,5.0
Nice Product,5.0
Veryy poor.....,1.0
Does the JOB,4.0
Very bad. It got burnt from the inside after 2 times.,1.0
Nice (do give discount sometime please),5.0
Excellent Solo Microwave - Perfect size - Perfect price,5.0
Working good worth in price,5.0
Its Awesome !,5.0
nice product and perfect product,5.0
SUPERB,5.0
Best router and AP,5.0
Brilliantly ball,5.0
Sound is not upto the Mark!,1.0
CHEATED,1.0
Just Okay Okay,3.0
Awesome same as explained,5.0
Great Power Bank From Mi,5.0
very poor,2.0
Excellent product from Google!,5.0
Quality product and great service from flipkart,5.0
Excellent service from Flipkart,4.0
Juicer,5.0
In 5 days the item stopped working,3.0
best product,5.0
Mind blowing purchase,5.0
"Brilliant device with a decent price if you are using any cable BROADBAND(tikona,local cable broadband that do not require a telephone line)",5.0
Very useful,4.0
Good enough,4.0
Excellent Product,5.0
Hard time following up with Flipkart for the installation and demo of the IFB Microwave,1.0
good product,5.0
Fab cooler,5.0
Best buy for 500,5.0
"Not good if display device is a monitors, no seperate audio",2.0
Execllent,5.0
"Big, sturdy, worth the price",5.0
best print at low cost : ),5.0
Good quality floor mat,5.0
Delightful,4.0
Build quality is not good,1.0
Superb product for singles,5.0
Old Hardware and Old Software,2.0
Terrific product for the price,5.0
Awesome...,4.0
Mid range Beast... Ryzen >>> i5,5.0
Bad product,1.0
no 1 worst product,1.0
VEry BAd,1.0
Awesome cooler,5.0
Review,5.0
Beast in this Range!,5.0
Super performance,5.0
Worth for Money..,4.0
Good for the price,4.0
superb,4.0
Excellent buy at the affordable cost,4.0
Useless Product,1.0
Nice product from Flipkart,5.0
Not as soft as it appears,3.0
Thin wire,1.0
Low quality,1.0
Shameful act of lying about product features.,1.0
"Worth every penny, Just got for it.",5.0
Awesome speaker in this price range,5.0
Recommended,5.0
Great looks mixer but worst designed jars,1.0
Seamless buy & installation,5.0
product  looking very nice & strong quality,5.0
Good clock.,5.0
Cool Cooler for Extreme Summer heat,4.0
BAD Clarity,2.0
"Fast Shipping, Genuine product",5.0
Good choice always,5.0
Avg product,2.0
The best at the price point,5.0
Value for money,5.0
Stops working after return period,1.0
inverter making noise very irritating.,3.0
Don't waste your money...worst product,1.0
Excellent Product!!,5.0
Good camera for this price range.,5.0
Good Grinder,5.0
NICE PRODUCT IN THIS PRICE,4.0
Good Quality,5.0
Its a great buy,5.0
Excellent better than su kam,5.0
Very usefull Product,3.0
Product is proportionate to the cost,4.0
"Flipkart, As good as always",5.0
great buy,5.0
Great Buy,5.0
Wait for the better price if you are not in a hurry,5.0
"Good set, safely packed, but really small bowls",3.0
"Worth every penny, with next day delivery as promised",5.0
Very Less Pages,1.0
Great Product  as expected,5.0
Ok kind of cooler..not effective in hot conditions,3.0
Easy to carry around and have a rich sound signature,5.0
Wonderful product,5.0
OVER PRICED AT FLIP KART CHECK OUT RATE IN OTHER ONLINE STORES,3.0
IFB SX1 Nice product,5.0
You need to shell out another Rs. 7000 for installation,4.0
"Descent Product. Quite good, not the best.",4.0
Great Product with reliability of Bajaj.,5.0
nivia storm football,5.0
Best Sewing machine.,5.0
Feel Worst Experience,1.0
Worth every penny & Brilliant,5.0
One of the best buy from FLIPKART,5.0
West money,1.0
"Fabulous product with lot of features, yet within the budget",5.0
6 months usage review.,3.0
Never purchase from RBStore Seller,1.0
Very functional,5.0
WORST FOOTBALL,1.0
"Timely delivery , next day Installation a top class service",4.0
Worth the money . Desert Cooler live up to the Name .,4.0
Box,5.0
Its good but comes with few caveats,5.0
Just Good,3.0
Best option on this price,4.0
Nivia storm football Size 5,5.0
A wonderful product!!!,5.0
Nice Product....,4.0
Excellent and value for money Wet Grinder,5.0
Basic appliance for reheating. Body heats up in 10mins,3.0
Happy with product,5.0
Far Better Juicer in comparison to other,5.0
Worst experience,1.0
product quality issues,1.0
Excellent product with great build quality,4.0
Honest review,5.0
30+ hrs to charge 150 AH battery,1.0
Nice product but installation part was week.,4.0
Good quality product,4.0
Pretty good,4.0
"Bad quality, drivers faililng within 2 weeks of usage",2.0
Using this for the last 4 months,4.0
Nice one,4.0
"Terrific, More than I expected.",5.0
Very sleep and sharp,4.0
Where i get the service ??,3.0
Greate Microwave Form IFB ! Go For It !,5.0
Just wow! My parents are loving it!,5.0
Good and Worthful,5.0
"Good, but very costly",2.0
Fabulous!,5.0
"1) Product quality = 2 stars, Delivery = 5 stars",2.0
Very hard n heavy,3.0
Best buy. Perfect for daily needs,5.0
Performs what it was designed for..,5.0
Thank you flipkart,5.0
Good in budget,3.0
Marketing tactics....Nothing special..,3.0
best routes,4.0
Choose Another washing machine  better if you choose samsung,2.0
Easy to Use,5.0
Good product..but bad service by flipkart!,5.0
Suitable for light-weight stuff,4.0
"Best in its class, borderless with IPS Panel.",5.0
Mind-blowing purchase,5.0
"Product rating,",3.0
Must buy! If planning to buy,5.0
Highly recommended. Must Buy.,5.0
HP Sells Ink & Head and not Printer,1.0
Good. Bt bowls are too short,3.0
Good Quality Product,5.0
Very Bad,1.0
BAJAJ Applicance,5.0
worth for money,5.0
Happy to purchase,5.0
Nice product for family of 4,4.0
Very good product at reasonable price,4.0
Good!,5.0
A product that put a smile on my face,5.0
best juicer,5.0
Outstanding.,5.0
Worst experience ever! DO NOT BUY,1.0
"Not very sturdy, low height.",1.0
Best in the market!,5.0
Woww Product...,5.0
It's good to have one like this !,4.0
Best in the budget.,4.0
Happy wife,4.0
"Not working,Misguiding Rating.",1.0
Full disappointed Ã°ÂÂÂ¡,1.0
BAJAJ DX 2 L/W 600,4.0
okay,3.0
Super! GOOD PRODUCT,5.0
Its not a cooler its Ac cooler,5.0
kinda disapointed,3.0
VFM - Primarily designed to move away from Cable,4.0
Great Product worth the price tag.,5.0
Just wow! Great Product,5.0
Highly recommended....,5.0
Great product and giving consistent 300Mbps using Jio Fiber,5.0
CHEATING,1.0
Go For It,5.0
awesome for the price,5.0
"good oven, got it at discounted price..",5.0
Good product for the price,5.0
why is this so overpriced at Flipkart,3.0
Excellent,5.0
Really Nice,4.0
Very Good product,5.0
good Item but only for warming the food,3.0
GREAT BALL,5.0
Excellent / supernb,5.0
Not Good product,1.0
Faulty at times. multiple needles broke,2.0
Value to Money (Smile)...!!!,5.0
Bajaj FX 11 Food Processor,4.0
Good product in this price,4.0
Slightly disappointed,2.0
EXCELLENT PRODUCT FROM AGARO,5.0
Not a premium product...,3.0
Football,3.0
GOOD PRODUCT,3.0
"The Best Fan in the market, you can buy with confidence",5.0
Good overall,5.0
hands off flipkart,1.0
Good machine but their outsourced service will cheat you,4.0
Good Stuff with Reasonable Price Only in Flipkart,4.0
Great product. must buy it...,5.0
Don't waste your money.,1.0
Overpriced,1.0
Best Product......Realy Nice,5.0
Nice product,4.0
Five Stars,5.0
Work the money for every penny,5.0
Don't waste your money,1.0
Exhauste fan,4.0
Not advisable to buy..poor quality!,1.0
A1 worth for every penny,5.0
Useless product,1.0
Wonderful..! I highly recommend.,5.0
Disappointed,1.0
Good product,4.0
Cools well but the User Manual can be improved,4.0
"RISKY INVESTMENT...FULL OF BUGS, LAGS & HANGS!!",2.0
happy with the product and flipcart service.,4.0
Poor,1.0
sahi hai...,4.0
Cannon PG47,5.0
Flipkart is BRILLIANT but Bajaj is BAD,3.0
Simply awesome.value for money Product,5.0
Product Worth Buying,5.0
Good TV - Now 4K option makes more sense,4.0
Great deal and awesome service by Flipkart,5.0
worst service from flipkart this time,1.0
Very nice product,5.0
Good product and easy Setup.,5.0
Cheated by Flipkart on price,4.0
Simply Ordinary,4.0
Compare to other router it is really good.,4.0
Another nice Google product!,5.0
Just Go for it,5.0
Nice entry level DSLR,5.0
Insurance more charges paid .,3.0
awwwwwwwwsome ÃÂ°ÃÂÃÂÃÂ,5.0
Compact,5.0
Hated it!Second hand box received,1.0
convinient product,4.0
It is very Good Product,5.0
Good machine but hidden cost not mention.,3.0
Worst and Useless without Installation,1.0
Ff,5.0
Looking good,4.0
A good gift !,5.0
Delightful Purchase : Got bad habit of speaking to assistant,5.0
Not reliable and bad quality product.,1.0
Average product,3.0
Super Product... delivered in less than 24 hours,5.0
Great Product from Samsung!,5.0
"really bad product, worst service from flipkart",1.0
Mixer Review,2.0
Worthless Product,1.0
Biggest mistake of my life!,1.0
Good for 20W or below requirement,5.0
So so product,3.0
Excellent. Must Buy,5.0
Priced good!,4.0
Switch has stopped working,1.0
ALL GOOD,5.0
Got a good router after doing a lot of research!,5.0
At this price point this the cheaper and durable..,4.0
Awesome Product,4.0
Monstrous performance @ budget,5.0
Inverter,4.0
Ultimate security.,5.0
Good Quality Product and Good Option for some one Gift.,5.0
Perfect product! Awesome Dishwasher at affordable cost,5.0
Just go for it,5.0
Average Product,3.0
50 - 50,3.0
Very very bad and worthless TV and I feel bad service TV,1.0
Simply awesome Excellent. Go for it.,5.0
great juicer easy to handle,5.0
Four Stars,4.0
Good Performance.,4.0
Best In class,4.0
"Wife's Pride, Maid's Envy !!",5.0
Worthy enough for all the promises made,5.0
Okay Product,3.0
Absolute Rubbish!,1.0
Very much safisfactory product.,5.0
study table,4.0
Livepure Pep Pro++ 7L RO +UV +UF,5.0
inalsa food processor,5.0
Burning Smell,1.0
Good choice! But bad installation.,4.0
best decided for it.,5.0
Awesome purchase at this price,5.0
Smart kettle,5.0
awesome = insane,5.0
It's simple and superb.,5.0
Satisfied with the camera,5.0
Good product if you have guts,5.0
Love this product very much,5.0
good one,3.0
Bajaj FX7 600 W Food Processor,5.0
Excellent Product in the given price range,5.0
Nice Mixer,5.0
Decent product.,3.0
BEST IN THE MARKET,5.0
Excellent quality at a low price,5.0
Its Good,5.0
Value for Money - Got it in 61k,4.0
Door is bad,3.0
Good product...,4.0
Nice TV,5.0
Good purchase!,5.0
Perfect product! can recommend to others,5.0
Water Purifier,5.0
Simply awesome.,4.0
Fantastic juicer,5.0
Super!  Melodious and Crisp Sound,5.0
Quality and value for Money,5.0
Best Product & Worth Buying!!,5.0
Bad quality,2.0
"The BEST ""Regular TV"" for a ""Non-Smart"" experience!",4.0
Great for the price,5.0
Regular usage not good.,2.0
The portable hard-disk is fine,4.0
expensive,2.0
IFB DISHWASHER AMAZING PRODUCT,5.0
Easy to clean and good to use,5.0
Average Sound Bar,3.0
Awesome !,5.0
BISHNU SAHIBGANJ JH,5.0
Do not buy this router.,1.0
Decent product - to buy only if you have WiFi router at Home,3.0
Thank u filipkart,5.0
A perfect Deepawali Gift for my Mom,4.0
Good product - enhances range,5.0
Good Product at Great Price,5.0
Not so efficient,3.0
Worst flipkart service,1.0
Product changed,1.0
"working fine, but product quality very cheep.",2.0
An investment in health,4.0
Very Good Product in a Valuable Price,5.0
Good product..,5.0
Real Performer,5.0
Excellent Service,5.0
Poor quality,1.0
Value of money,5.0
Excellent water purifier,5.0
powerful suction,5.0
Best among the water purifiers in this segment...,5.0
Good for its price,5.0
Little Wonder,5.0
MI means TRUST from now on...,4.0
good product with reasonable price.,5.0
Highly recommended,5.0
Awesome...Best For Beginner's!!!!!!!!,5.0
Quality,5.0
"Black color is not good.. size, fitting and elastic are good",4.0
Satisfied,5.0
avg quality,2.0
Worth,5.0
GOOD QUALITY WATER FILTER,5.0
Superb product,5.0
Strong but height is too short for TV base,4.0
"Not DIY, buy at your own discretion",2.0
"""Wise deal for the price""",5.0
Awesome design and easy to use and clean,5.0
best ball,5.0
Worth every dime..,5.0
very bad!!!,2.0
Terrible product from google,1.0
Best for Cooking,5.0
Terrific purchase,5.0
Awesome M1 chip air,5.0
Good product.,4.0
Super products,5.0
Hp 46 cartridge,4.0
Nice product with free installation service,5.0
100% Satisfied from the Product.,5.0
Stopped working in 4 months,1.0
Old product and have scratch on face,1.0
Great product.....with this price range,5.0
Length of Electrical wire,2.0
Excellent Router compare to TP-Link TL-WR841 N 300,5.0
We got rid of the maid right away *****,5.0
Value for money....,5.0
Excellent for the price.,5.0
Nice Convention Microwave Oven @8000,4.0
life saver!!!,5.0
Poor Product Quality,2.0
8 hrs backup for what capacity battery?,5.0
Excellent Dishwasher,5.0
just go for it its worth of money,5.0
Good buy,3.0
Monster !!,5.0
Great Laptop,5.0
This is the real thermos,5.0
Internet is not Working Properly,5.0
Consistent performer,4.0
wonderful little microwave,5.0
Reviewing after an year of use,3.0
VERY GOOD PRODUCT,5.0
Best in Class,4.0
Neptune,5.0
Great Experience,5.0
Poor Signal,3.0
Tv review,3.0
Kitchen friend,5.0
Feedback,4.0
Canon black ink cartridge,4.0
Purchased the product on 24th got delivered on 30th septembe,3.0
Nan,4.0
"Easy to assemble, super comfortable!",5.0
Stop selling this. and stop buying this.,1.0
Fabulous product,5.0
mind blowing,5.0
Over all good product,5.0
Signal is not much strong,3.0
very useful,4.0
Great product but no Demo organized...,4.0
Terrific Purchase considering the Price Point !!!,5.0
Great in style juices like a boss,5.0
GOOD..,5.0
A very nice product,4.0
Awesome Microwave with Best price,5.0
This item is very bad and not useful,2.0
Best product thanks flipkart,5.0
BAD! Too Noisy,1.0
New one,5.0
Super awesome,4.0
Good but could have been better,3.0
Bajaj Food Processeor,1.0
Nice Trendy and easy to Carry,4.0
Fine quality,1.0
Defective Product,1.0
the best laptop you could get for 63k.....just go for it,5.0
Top notch product with Genuine price.,5.0
Only one RAM slot,3.0
My Dishwasher- Neptune VX,5.0
Best buy at this point in time (October 2021),5.0
Go ahead and buy!!,5.0
The Best In the Class,5.0
Damaged product,1.0
Waste of money,1.0
Super!,5.0
ITS WHAT YOU NEED IN KITCHEN,5.0
power grinder,4.0
Same as google home mni,1.0
product is not working..,1.0
Awesome Juicer. Value for money,5.0
Sound over Bluetooth cracks sometimes....,3.0
Neptune FX1 Dishwasher,5.0
Will print maximum 100 pages,2.0
NYC one product from Philips,5.0
Superb quality,5.0
Good 360 rotation product,5.0
Bajaj GX 1 Mixer grinder,4.0
Not starting after 1 month after purchage.,2.0
Works Perfectly with CRT TV. No better option than this.,5.0
Smart Microwave,5.0
All in one..,5.0
Worth it,4.0
Not Expected This Product,1.0
Economical but poor quality,2.0
Good product and good delivery service,4.0
awwwwwwwwsome Ã°ÂÂÂ,5.0
incomplete item received,1.0
Just wow! Excellent Quality & You Can Blindly Go For It,5.0
DO NOT WASTE YR MONEY ON THIS !!!,1.0
Very poor,1.0
Flipkart.. The Best.,5.0
Bahut achcha hai,3.0
A first worst product by FLIPKART,2.0
Mind-blowing purchase Good product and quality,5.0
Looks superb but not good for blocking light,3.0
Good product. Recommended,5.0
Good...go ahead and order...no issues,5.0
Very Nice and Sturdy product,5.0
Bad Product with Poor quality materials,2.0
Very Good,4.0
Best product for the price,5.0
Cool Device.,5.0
"3rd class , cheap product , don't buy",1.0
Great build quality & features. But unreliable,3.0
Awesome product,4.0
Very Very Good Product,5.0
Beast,5.0
Worthy...,4.0
Shipping was real quick!,5.0
Good for hard ground,5.0
Excellent product from IFB & timely shipping from Flipkart,5.0
bad service,1.0
Awesome product but no free installation,5.0
Worst product ever,1.0
Thanks,4.0
Microtek UPS SW EB1100 Pure Sine Wave Inverter Pure Sine Wav,5.0
Wow ! Excellent demo by Singer in person even in COVID times,5.0
Classy product,5.0
"very bad,,, not at all suitable for such a nice platform like flipkart",1.0
Best product and service,5.0
Buget food processor with good quality.,5.0
Don't buy this. It will stop working on 11th day.,1.0
I Love Flipkart,5.0
Thanks for delivering the Product on time.,5.0
Good quality dinner set,5.0
Awesomevery good,5.0
"USELESS PRODUCT, WORST.....",1.0
Superb Performance for a Week,1.0
Part missing,1.0
Amazing!,5.0
D link the best,4.0
Best in the market! Go for it.,5.0
Good performance,5.0
Catvision settop box,4.0
Good Delivery and product,5.0
NYC product,5.0
Best Choice,5.0
Nice Juicer.,5.0
Good not best,4.0
Micro owen,4.0
LOVED IT,5.0
Worst camera,2.0
Super! Worth it !,5.0
Not for kids below 12 years,1.0
Speed better than seagate samsung,5.0
Wonderful- Excellent,5.0
Ok for unbreakable stuff,2.0
marvelous,5.0
Nice for kids and teens !!,4.0
Very bad product,1.0
So convenient,4.0
Works excellent,4.0
Awesome deal,5.0
Nice Product!!!!,4.0
Careful to opt exchange,4.0
Excellent product at this price.,5.0
Fabulous till now !,5.0
NO PROBLEM WITH THIS PRODUCT,5.0
Sexy design,3.0
Good Juicer with satisfactory build quality,5.0
Item is good but Delhivery courier service worst.,1.0
Perfect solo m/w for solely reheating,5.0
Awesome!!,5.0
Good Camera by Hero,5.0
HP combo Pack 678 Inkjet cartridge,5.0
Mast,5.0
Micro tech invetor,1.0
Unsatisfactory,1.0
"Bad Decision of buying plastic bucket, cheap material",1.0
Good Football,4.0
Excellent juicer,5.0
Value-for-money,4.0
"I love flipkart,this soldring iron is best",5.0
Inalsa,5.0
good working,4.0
Good decent product and worth the money,4.0
NICE FOOD PROCESSOR,5.0
"Heats up soon, disappointed",1.0
AwesomeNice,5.0
Good product in budget,5.0
FLIPKART - TRULY GREAT,5.0
"GREAT PRODUCT, GREAT SERVICE BY FLIPKART",5.0
IFB Dishwasher,5.0
Awesome Sound,5.0
EXCELLENT IN TERMS OF COMPATIBILITY & PERFORMANCE.,5.0
Very nice solo microwave,5.0
"A good, reliable, Sine wave invertor.",4.0
WOW PRODUCT IF YOU WANT TO SEE YOUR OWN DREAMS IN THIS TV!,5.0
Flop,2.0
Liked it,4.0
i love it,5.0
Perfect product!,5.0
GOOD PRICE ...EXCELLENT PRODUCT,5.0
Must buy! Cool product,5.0
Not as described on the site but no issues with the Quality.,3.0
The ball is NO good! NOT RECOMMENDED,1.0
Value For Money,5.0
"Invoice serial number mismatch issue,apple support rejecting",1.0
availability,1.0
Very much satisfied with the product.,5.0
"Terrible product,don't buy",1.0
good entrylevel product,4.0
Best in the market! Have a look at description for details,5.0
Full disappointed ÃÂ°ÃÂÃÂÃÂ¡,1.0
Pls refund the amount and take your machine back,1.0
Nice Mixer @ Nice Price,5.0
Does the job,3.0
Smart inverter!,5.0
Best in class refrigerator,5.0
5 Star Product,5.0
A nice Product,4.0
One of the best Kitchen Appliance,4.0
Kitchen mate,4.0
Wow product,5.0
Pretty good product,4.0
good quality and value for money.,4.0
Worth Money,4.0
Good and Vaule for Money,4.0
Utterly Disappointed !!!,1.0
can't grind spices...,2.0
Need of these days.,5.0
Must buy! Working as designed and as described,5.0
Works as expected,4.0
Good security for PC,4.0
worst product,1.0
Nice product from IFB,4.0
Don't buy this if you are on high speed internet connection,3.0
Very good product,5.0
"Poor quality fit and finish, water leaks..",1.0
Its okay,4.0
Micro,5.0
Worst than expected.,1.0
Not Worth,4.0
"Mind blowing Machine with all in(Mixing, Chopping, Grinding)",5.0
Good Product but check for tape at any part of table,4.0
BAD PRODUCT,4.0
gorgeous juicer that works wonders!!!!!!,5.0
Best Deal in Market !!,5.0
Best Ever Mixer Grinder | Recommended | Butterfly Rocks,5.0
good ball,5.0
Well!!!,4.0
Nice Camera,5.0
Every Penny Worth for this Product Awesome Product @ Awesome,5.0
The Power of Livpure Pep Pro+ technology is Most innovative,5.0
"Really Nice, value for money",4.0
Wonderful milton no-1 brond superb,4.0
Better than expected,5.0
Great Product!,5.0
Best router avaiable,4.0
improper sync between audio and video.audio is being delayed,1.0
Very Good Router,5.0
Fantastic Product and Excellent delivery from Flipkart.,5.0
:),5.0
Simply Awesome,5.0
"Grip,toughness and design",3.0
Bad delivery person,3.0
Really Great product.,5.0
Quality product,5.0
Good Service,5.0
Picture settings not getting applied to HDMI / AV input,4.0
Not great,2.0
This Product is very good and Taste Enhancer works perfect..,5.0
Supar,5.0
Excellent product,5.0
Affordable as well as very very portable vacuum cleaner,5.0
The product is best for cleaning your home,5.0
"Great experience, quality and yield",5.0
Superb,3.0
Go for it without any second thoughts!,5.0
Just okay Yes,3.0
Fantastic,4.0
Must Buy.......,5.0
Sturdy Table,4.0
Good camera from Qubo,5.0
Good alternative to Fire Tv stick,4.0
Utterly Disappointed,1.0
Hats off,5.0
Best in the market at this price range,5.0
Good Choice....,5.0
"Good Product, NOT GREAT",3.0
"Like an assembled, one can get for 4.5K Cheap Quality",1.0
Otg,5.0
Simply awesome,5.0
Goodwill,4.0
very good,4.0
Expected a better product,2.0
Never you can miss!,5.0
A quality product,5.0
item looking good but it was not full as describe in detail,4.0
9838797786,5.0
Cartridge delivered .. superfast and well packed.,5.0
Best aqua guard at affordable price,4.0
SASTA ROYE EK BAR,5.0
Best and Elegant for tabletop.,5.0
Price Value,4.0
Good for its price!,4.0
One word go for LivPure,4.0
Go for it.,5.0
Met some expectations,2.0
value for money,5.0
Good TV for price but needs improvement,3.0
Highly priced for the kind of stuff offered,2.0
Amazing,5.0
"Was initially skeptical on new brand, worth a shot",4.0
Could be way better,2.0
Inalsa Food Processor,1.0
the finishing and the quality are superb,5.0
Great brand - More than 6 years,5.0
PTZ Camera,5.0
Awsome product,5.0
Average,3.0
don't buy,4.0
Two Stars,2.0
Works well,5.0
Canon Best always,5.0
Must buy! Excellent Product,5.0
Not as expected it to be. may be upgrade can make it better,3.0
So little juice and so much of waste.,5.0
Optimal for small family,4.0
Good,3.0
Nice and sturdy,4.0
Horrible,1.0
Value for money product,4.0
Satisfied!,4.0
alam,2.0
Average ball,3.0
AWESOMEÃ¢ÂÂºÃ¢ÂÂº.VALUE FOR MONEY...DOUBLE THUMBS UP FOR THAT,4.0
dont waste your money,2.0
Cooker brand,1.0
Just wow! most deserved smart speaker,5.0
Not fixed on TV HDMI Slot due to unavailability of space,3.0
Hardground football,4.0
good product but not best,4.0
not detecting in my printer it is too bad,1.0
Good and easy to use.,4.0
